id	x	y	group	color	size	metadata
_h5_4245	26680.85	13940.68	91	7B3F00	30	regular
_h5_4459	26603.59	14020.15	91	7B3F00	30	regular
_h5_3737	21563.01	17079.92	60	6F00FF	30	regular
_h5_3617	21562.11	17083.11	60	6F00FF	30	regular
_h5_3898	21588.01	17087.88	60	6F00FF	30	regular
_h5_4094	18756.51	22985.63	306	FFA700	30	regular
_h5_4269	18847.59	22977.9	102	98817B	30	regular
_h5_4095	19137.74	16266.62	150	DE5285	30	regular
_h5_3583	19161.47	16357.88	150	DE5285	30	regular
_h5_4174	19074.72	16391.38	150	DE5285	30	regular
_h5_4343	19136.41	16536.71	150	DE5285	30	regular
_h5_4340	19116.84	16185.57	150	DE5285	30	regular
_h5_4498	32090.84	18419.99	105	E34234	30	regular
_h5_4712	10981.69	15070.89	425	D2691E	30	regular
_h5_3774	11070.91	15061.12	425	D2691E	30	regular
_h5_4713	12443.55	19882.53	-1	000	10	regular
_h5_4855	43188.2	8320.22	135	E4D00A	30	regular
_h5_4809	43265.99	8303.4	135	E4D00A	30	regular
_h5_4834	43127.88	8322.12	135	E4D00A	30	regular
_h5_4808	41001.75	17382.44	49	9EA91F	30	regular
_h5_4837	41225.09	17579.89	49	9EA91F	30	regular
_h5_4838	41155.98	17562.37	49	9EA91F	30	regular
_h5_3840	21760.41	5183.02	335	7F1734	30	regular
_h5_4667	21742.46	5181.69	335	7F1734	30	regular
_h5_4807	33646.92	21268.9	484	FBCCE7	30	regular
_h6_14	33844.81	21403.73	484	FBCCE7	30	regular
_h5_4801	21914.3	26893.86	284	563C5C	30	regular
_h5_4836	22003.57	27157.06	28	030507	30	regular
_h5_4787	21837.92	26611.24	284	563C5C	30	regular
_h5_4816	21853.29	26672.12	284	563C5C	30	regular
_h5_4800	16122.09	25224.71	170	0047AB	30	regular
_h5_4783	16120.56	25221.76	170	0047AB	30	regular
_h5_4175	16332.81	25082.42	170	0047AB	30	regular
_h5_4793	16326.64	25082.78	170	0047AB	30	regular
_h5_4803	8370.45	15175.77	392	D2691E	30	regular
_h5_3633	8085.01	15163.86	220	965A3E	30	regular
_h5_4802	4650.34	20628.54	-1	000	10	regular
_h5_3788	11975.86	25426.6	-1	000	10	regular
_h5_3787	32778.51	13493.3	350	6F4E37	30	regular
_h5_3880	33003.02	13439.54	350	6F4E37	30	regular
_h5_4424	32970.71	13427.97	350	6F4E37	30	regular
_h5_4025	19218.98	17994.65	39	6C3082	30	regular
_h5_4072	19124.99	17747.6	181	9BDDFF	30	regular
_h5_4326	19107.43	17907.13	39	6C3082	30	regular
_h5_3784	8832.56	13659.92	-1	000	10	regular
_h5_3782	20397.01	27762.33	58	F88379	30	regular
_h5_3577	20359.09	27714.18	58	F88379	30	regular
_h5_4573	20420.09	27864.0	58	F88379	30	regular
_h5_4292	20280.27	27614.08	58	F88379	30	regular
_h5_4307	20249.76	27575.51	58	F88379	30	regular
_h5_4377	22446.92	21567.62	48	002E63	30	regular
_h5_4619	22490.19	21809.04	48	002E63	30	regular
_h5_4605	22445.03	21620.09	48	002E63	30	regular
_h5_4587	22470.71	21489.43	11	44D7A8	30	regular
_h5_4376	28671.07	23939.69	-1	000	10	regular
_h5_4375	11714.74	15206.32	-1	000	10	regular
_h5_4374	6990.63	22869.47	79	8C92AC	30	regular
_h5_4822	6864.96	22971.33	79	8C92AC	30	regular
_h5_4868	7108.57	22934.96	79	8C92AC	30	regular
_h5_4373	13781.71	14638.16	86	B87333	30	regular
_h5_4099	13963.77	14626.93	86	B87333	30	regular
_h5_4346	13829.63	14630.27	86	B87333	30	regular
_h5_4592	14028.18	14626.42	86	B87333	30	regular
_h5_4600	13890.23	14629.54	86	B87333	30	regular
_h5_4759	14066.55	14630.67	86	B87333	30	regular
_h5_4372	19153.92	17605.26	181	9BDDFF	30	regular
_h5_4385	19171.81	17421.27	251	801818	30	regular
_h5_4278	20416.71	20830.48	168	DA8A67	30	regular
_h5_3655	20443.91	20845.99	168	DA8A67	30	regular
_h5_3708	20482.14	20859.1	168	DA8A67	30	regular
_h5_4504	20216.05	20745.86	168	DA8A67	30	regular
_h5_4515	20447.88	20862.11	168	DA8A67	30	regular
_h5_4276	13715.04	23075.01	206	AD6F69	30	regular
_h5_4574	13779.45	23262.21	206	AD6F69	30	regular
_h5_4277	22111.08	18713.81	47	C154C1	30	regular
_h5_4088	21858.85	18661.9	47	C154C1	30	regular
_h5_4342	21870.55	18649.15	47	C154C1	30	regular
_h5_4275	19483.31	22477.05	198	CB6D51	30	regular
_h5_3863	19588.0	22432.28	198	CB6D51	30	regular
